sample	genotype	Bpinene	2carene	Aterpinene	Aphellandrene	BphellandreneDlimonene	Bbergamotene	Santalene	Bcaryophyllene	Abergamotene	Ahumulene	7epizingiberene	Zingiberenol	epoxyzingiberenol	Bbergamotoicacid	Santanaloicacid	Abergamotoicacid
CV_LA1777_1_1	CV_LA1777	0	223	84	124	537	4	8	648	70	199	49	0	7	33.9	0	9.8
CV_LA1777_2_2	CV_LA1777	0	20	17	15	194	0	4	335	4	126	19	5	8	15.4	0	10.1
CV_LA1777_3_3	CV_LA1777	0	158	58	61	594	0	3	355	4	118	19	4	4	11	0	0
CV_PI127826_1	CV	37	136	59	76	601	0	0	56	0	24	14	4	0	0	0	0
CV_PI127826_2	CV	203	486	165	165	579	0	0	228	0	95	33	4	5	0	0	0
CV_PI127826_3	CV	55	77	96	138	625	0	0	206	0	79	22	5	6	0	0	0
F1_LA1777xCV_1	F1-LA1777	8	2366	1501	538	3695	2582	9920	495	4083	505	2273	142	94	0	0	0
F1_LA1777xCV_2	F1-LA1777	0	228	1033	821	7390	2200	9620	307	2409	1490	1751	113	65	23.8	0	0
F1_LA1777xCV_3	F1-LA1777	0	191	958	1150	6303	2171	10711	598	2671	213	1657	137	80	8.4	0	0
F1_PI127826xCV_1	F1	14	142	280	1439	6783	27	79	175	103	10	1384	64	411	0	0	0
F1_PI127826xCV_2	F1	0	1085	225	340	848	30	72	310	50	675	2843	110	346	0	0	0
F1_PI127826xCV_3	F1	0	25	55	98	559	0	34	112	24	144	808	33	116	0	0	0
PI127826_1	PI127826	0	0	2076	1469	14068	727	1480	118896	12149	88043	2081756	129619	89078	0	0	0
PI127826_2	PI127826	0	0	0	0	3334	708	0	33198	2256	67295	245613	33328	52914	0	0	0
PI127826_3	PI127826	0	0	6274	2812	13678	978	0	30505	2605	43526	143126	12556	25322	0	0	0
LA1777_1	LA1777	0	0	0	0	0	20354	54196	2014	47472	9075	22410	0	1005	516.4	561.5	1173.9
LA1777_2	LA1777	0	0	0	0	0	3430	11778	0	3971	1993	1499	0	0	44.8	0	37.7
LA1777_3	LA1777	0	0	0	0	2194	26981	63894	1025	18310	13372	4494	473	0	23.2	5.2	57
F1_PI127826xLA1777 _1	F1-hab	0	0	0	724	5701	225628	934929	148398	151415	87989	2323175	65190	72519	148.4	20.2	17.1
F1_PI127826xLA1777 _2	F1-hab	0	0	0	978	5140	209875	660820	194895	130373	72697	2565137	170189	54368	108.9	0	42
F1_PI127826xLA1777 _3	F1-hab	0	1116	1547	0	1758	63487	173203	91123	16926	27978	316265	54514	16731	61.5	13.3	60.4
